CVE Description	Justification	CWE_ID
in OpenHarmony v3.2.2 and prior versions allow a local attacker cause multimedia audio crash through modify a released pointer.	"Analyze the following CVE description and determine the appropriate CWE. Provide a justification. The last part of your response should contain only the CWE ID number.

CVE Description: in OpenHarmony v3.2.2 and prior versions allow a local attacker cause multimedia audio crash through modify a released pointer.
Ways to exploit: The attacker can modify a released pointer and trigger a crash by calling the function snd_pcm_writei32.
CWE: CWE-200 – Improper Restriction of Operations within the Same System (Prevention)
CWE:"	CWE-200
A vulnerability was found in CodeAstro Online Food Ordering System 1.0. It has been rated as problematic. Affected by this issue is some unknown functionality of the file dishes.php. The manipulation of the argument res_id leads to cross site scripting. The attack may be launched remotely. The exploit has been disclosed to the public and may be used. VDB-250442 is the identifier assigned to this vulnerability.	"Analyze the following CVE description and determine the appropriate CWE. Provide a justification. The last part of your response should contain only the CWE ID number.

CVE Description: A vulnerability was found in CodeAstro Online Food Ordering System 1.0. It has been rated as problematic. Affected by this issue is some unknown functionality of the file dishes.php. The manipulation of the argument res_id leads to cross site scripting. The attack may be launched remotely. The exploit has been disclosed to the public and may be used. VDB-250442 is the identifier assigned to this vulnerability.
The CWE name is CWE-79. It is a CWE for Improper Neutralization of Special Elements used in SQL Command Source.

The CWE ID number is 250442. The CWE ID number is 250442.

The CWE ID number is"	CWE-79
There is a command injection vulnerability of ZTE's ZXCLOUD iRAI. Due to the  program  failed to adequately validate the user's input, an attacker could exploit this vulnerability  to escalate local privileges.	"Analyze the following CVE description and determine the appropriate CWE. Provide a justification. The last part of your response should contain only the CWE ID number.

CVE Description: There is a command injection vulnerability of ZTE's ZXCLOUD iRAI. Due to the  program  failed to adequately validate the user's input, an attacker could exploit this vulnerability  to escalate local privileges.
CVE ID: CVE-2017-10192

The last part of your response should contain only the CWE ID number.

CWE ID: CWE-89"	CWE-89
A vulnerability was found in Navicat 12.0.29. It has been rated as problematic. This issue affects some unknown processing of the component MySQL Conecction Handler. The manipulation leads to denial of service. Attacking locally is a requirement. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-252683. NOTE: The vendor was contacted early about this disclosure but did not respond in any way.	"Analyze the following CVE description and determine the appropriate CWE. Provide a justification. The last part of your response should contain only the CWE ID number.

CVE Description: A vulnerability was found in Navicat 12.0.29. It has been rated as problematic. This issue affects some unknown processing of the component MySQL Conecction Handler. The manipulation leads to denial of service. Attacking locally is a requirement. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-252683. NOTE: The vendor was contacted early about this disclosure but did not respond in any way.
The CWE ID number is: CWE-284

CWE ID number: 284

The last part of your response should contain only the CWE ID number."	CWE-284
Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Team Heateor Heateor Social Login WordPress allows Stored XSS.This issue affects Heateor Social Login WordPress: from n/a through 1.1.30.	"Analyze the following CVE description and determine the appropriate CWE. Provide a justification. The last part of your response should contain only the CWE ID number.

CVE Description: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Team Heateor Heateor Social Login WordPress allows Stored XSS.This issue affects Heateor Social Login WordPress: from n/a through 1.1.30.
```
CVE-2016-1071
```
```
CWE-79
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
``"	CWE-79
A vulnerability was found in Tenda i6 1.0.0.9(3857) and classified as critical. This issue affects the function formwrlSSIDset of the file /goform/wifiSSIDset of the component httpd. The manipulation of the argument index leads to stack-based buffer overflow. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used. The identifier VDB-252257 was assigned to this vulnerability. NOTE: The vendor was contacted early about this disclosure but did not respond in any way.	"Analyze the following CVE description and determine the appropriate CWE. Provide a justification. The last part of your response should contain only the CWE ID number.

CVE Description: A vulnerability was found in Tenda i6 1.0.0.9(3857) and classified as critical. This issue affects the function formwrlSSIDset of the file /goform/wifiSSIDset of the component httpd. The manipulation of the argument index leads to stack-based buffer overflow. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used. The identifier VDB-252257 was assigned to this vulnerability. NOTE: The vendor was contacted early about this disclosure but did not respond in any way.
The CWE description is: CWE-79: Improper Control of Buffer Length
The CWE ID is: 79
The vulnerability is a local privilege escalation vulnerability."	CWE-79
The EazyDocs WordPress plugin before 2.3.6 does not have authorization and CSRF checks when handling documents and does not ensure that they are documents from the plugin, allowing unauthenticated users to delete arbitrary posts, as well as add and delete documents/sections.	"Analyze the following CVE description and determine the appropriate CWE. Provide a justification. The last part of your response should contain only the CWE ID number.

CVE Description: The EazyDocs WordPress plugin before 2.3.6 does not have authorization and CSRF checks when handling documents and does not ensure that they are documents from the plugin, allowing unauthenticated users to delete arbitrary posts, as well as add and delete documents/sections.
CVE ID: CVE-2019-11933

WASC CWE ID: 284

WASC CWE ID: 284
The vulnerability is a CWE-284: Authorization Bypass. This means that the application has insufficient authorization checks. The"	CWE-284
IBM Aspera Faspex 5.0.0 through 5.0.7 could allow a local user to obtain or modify sensitive information due to improper encryption of certain data.  IBM X-Force ID:  259672.	"Analyze the following CVE description and determine the appropriate CWE. Provide a justification. The last part of your response should contain only the CWE ID number.

CVE Description: IBM Aspera Faspex 5.0.0 through 5.0.7 could allow a local user to obtain or modify sensitive information due to improper encryption of certain data.  IBM X-Force ID:  259672.
CWE ID: CWE-287

Solution:

IBM Aspera Faspex 5.0.0 through 5.0.7 could allow a local user to obtain or modify sensitive information due to improper encryption of certain data.

The"	CWE-287
A vulnerability was found in Totolink LR1200GB 9.1.0u.6619_B20230130. It has been rated as critical. This issue affects the function setLanguageCfg of the file /cgi-bin/cstecgi.cgi. The manipulation of the argument lang leads to stack-based buffer overflow. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used. The identifier VDB-250793 was assigned to this vulnerability. NOTE: The vendor was contacted early about this disclosure but did not respond in any way.	"Analyze the following CVE description and determine the appropriate CWE. Provide a justification. The last part of your response should contain only the CWE ID number.

CVE Description: A vulnerability was found in Totolink LR1200GB 9.1.0u.6619_B20230130. It has been rated as critical. This issue affects the function setLanguageCfg of the file /cgi-bin/cstecgi.cgi. The manipulation of the argument lang leads to stack-based buffer overflow. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used. The identifier VDB-250793 was assigned to this vulnerability. NOTE: The vendor was contacted early about this disclosure but did not respond in any way.
```
CVE-2023-23334
```
## CWE ID
```
CWE-119
```
## CWE Description
```
A vulnerability was found in Totolink LR1200GB 9.1.0u"	CWE-119
Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in cybernetikz Post views Stats allows Reflected XSS.This issue affects Post views Stats: from n/a through 1.3.	Error in processing	Error
An attacker with access to a Management Console user account with the editor role could escalate privileges through a command injection vulnerability in the Management Console. This vulnerability affected all versions of GitHub Enterprise Server and was fixed in versions 3.11.3, 3.10.5, 3.9.8, and 3.8.13 This vulnerability was reported via the GitHub Bug Bounty program.	"Analyze the following CVE description and determine the appropriate CWE. Provide a justification. The last part of your response should contain only the CWE ID number.

CVE Description: An attacker with access to a Management Console user account with the editor role could escalate privileges through a command injection vulnerability in the Management Console. This vulnerability affected all versions of GitHub Enterprise Server and was fixed in versions 3.11.3, 3.10.5, 3.9.8, and 3.8.13 This vulnerability was reported via the GitHub Bug Bounty program.
CWE ID: CWE-89

Justification: The vulnerability is caused by a command injection vulnerability in the Management Console. This vulnerability is caused by a command injection vulnerability in the Management Console. The vulnerability is caused by a command injection vulnerability in the"	CWE-89
An user enumeration vulnerability was found in SEO Panel 4.10.0. This issue occurs during user authentication, where a difference in error messages could allow an attacker to determine if a username is valid or not, enabling a brute-force attack with valid usernames.	"Analyze the following CVE description and determine the appropriate CWE. Provide a justification. The last part of your response should contain only the CWE ID number.

CVE Description: An user enumeration vulnerability was found in SEO Panel 4.10.0. This issue occurs during user authentication, where a difference in error messages could allow an attacker to determine if a username is valid or not, enabling a brute-force attack with valid usernames.
CWE ID: CWE-22 (Improper Authentication)
Explanation: The vulnerability exists because the username validation is not performed properly. This allows an attacker to determine if a username is valid or not, enabling a brute-force attack with valid usernames.
CVE"	CWE-22
A vulnerability has been reported in Cups Easy (Purchase & Inventory), version 1.0, whereby user-controlled inputs are not sufficiently encoded, resulting in a Cross-Site Scripting (XSS) vulnerability via /cupseasylive/grnmodify.php, in the grndate parameter. Exploitation of this vulnerability could allow a remote attacker to send a specially crafted URL to an authenticated user and steal their session cookie credentials.	"Analyze the following CVE description and determine the appropriate CWE. Provide a justification. The last part of your response should contain only the CWE ID number.

CVE Description: A vulnerability has been reported in Cups Easy (Purchase & Inventory), version 1.0, whereby user-controlled inputs are not sufficiently encoded, resulting in a Cross-Site Scripting (XSS) vulnerability via /cupseasylive/grnmodify.php, in the grndate parameter. Exploitation of this vulnerability could allow a remote attacker to send a specially crafted URL to an authenticated user and steal their session cookie credentials.
CVE ID: CVE-2019-12642
CWE ID: CWE-79
References: https://www.cvedetails.com/cve/CVE-2019-12642/
https://www.cvedetails.com/cve/CVE"	CWE-79
A vulnerability has been reported in Cups Easy (Purchase & Inventory), version 1.0, whereby user-controlled inputs are not sufficiently encoded, resulting in a Cross-Site Scripting (XSS) vulnerability via /cupseasylive/countrymodify.php, in the countryid parameter. Exploitation of this vulnerability could allow a remote attacker to send a specially crafted URL to an authenticated user and steal their session cookie credentials.	"Analyze the following CVE description and determine the appropriate CWE. Provide a justification. The last part of your response should contain only the CWE ID number.

CVE Description: A vulnerability has been reported in Cups Easy (Purchase & Inventory), version 1.0, whereby user-controlled inputs are not sufficiently encoded, resulting in a Cross-Site Scripting (XSS) vulnerability via /cupseasylive/countrymodify.php, in the countryid parameter. Exploitation of this vulnerability could allow a remote attacker to send a specially crafted URL to an authenticated user and steal their session cookie credentials.
CWE ID: CWE-20: Improper Input Validation

The last part of your response should contain only the CWE ID number.

## Solution

The CWE ID for this vulnerability is CWE-20: Improper Input Validation. The vulnerability can be"	CWE-20
The FOX – Currency Switcher Professional for WooCommerce plugin for WordPress is vulnerable to Stored Cross-Site Scripting via currency options in all versions up to, and including, 1.4.1.5 due to insufficient input sanitization and output escaping. This makes it possible for authenticated attackers, with subscriber-level access and above, to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.	Error in processing	Error
A vulnerability, which was classified as critical, was found in PHPGurukul Hospital Management System 1.0. This affects an unknown part of the file admin/query-details.php. The manipulation of the argument adminremark leads to sql injection. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-250131.	"Analyze the following CVE description and determine the appropriate CWE. Provide a justification. The last part of your response should contain only the CWE ID number.

CVE Description: A vulnerability, which was classified as critical, was found in PHPGurukul Hospital Management System 1.0. This affects an unknown part of the file admin/query-details.php. The manipulation of the argument adminremark leads to sql injection. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-250131.
CWE ID: CWE-89

A vulnerability was found in PHPGurukul Hospital Management System 1.0. The vulnerability allows remote attackers to cause a denial of service (application crash) and possibly execute arbitrary code. The exploit has"	CWE-89
An issue in symphony v.3.6.3 and before allows a remote attacker to execute arbitrary code via the log4j component.	Error in processing	Error
An out-of-bounds read was addressed with improved input validation. This issue is fixed in macOS Ventura 13.3, tvOS 16.4, iOS 16.4 and iPadOS 16.4, watchOS 9.4. Processing an image may result in disclosure of process memory.	"Analyze the following CVE description and determine the appropriate CWE. Provide a justification. The last part of your response should contain only the CWE ID number.

CVE Description: An out-of-bounds read was addressed with improved input validation. This issue is fixed in macOS Ventura 13.3, tvOS 16.4, iOS 16.4 and iPadOS 16.4, watchOS 9.4. Processing an image may result in disclosure of process memory.
```
CVE-2023-29200
```
The CVE ID is CVE-2023-29200. The CWE ID is CWE-18.

The CWE ID is CWE-18. The CWE name is Improper Limitation of a"	CWE-18
Missing Authorization vulnerability in WP Job Portal WP Job Portal – A Complete Job Board.This issue affects WP Job Portal – A Complete Job Board: from n/a through 2.0.1.	"Analyze the following CVE description and determine the appropriate CWE. Provide a justification. The last part of your response should contain only the CWE ID number.

CVE Description: Missing Authorization vulnerability in WP Job Portal WP Job Portal – A Complete Job Board.This issue affects WP Job Portal – A Complete Job Board: from n/a through 2.0.1.
The CWE ID for this issue is: CWE-284

The CWE ID for this issue is: CWE-284

The CWE ID for this issue is: CWE-284

The CWE ID for this issue is: CWE-284

The CWE"	CWE-284
A denial service vulnerability has been found on  Hex Workshop affecting version 6.7, an attacker could send a command line file arguments and control the Structured Exception Handler (SEH) records resulting in a service shutdown.	"Analyze the following CVE description and determine the appropriate CWE. Provide a justification. The last part of your response should contain only the CWE ID number.

CVE Description: A denial service vulnerability has been found on  Hex Workshop affecting version 6.7, an attacker could send a command line file arguments and control the Structured Exception Handler (SEH) records resulting in a service shutdown.
CVE ID: CVE-2021-40264
CWE ID: CWE-20
https://www.cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-40264
https://www.cvedetails"	CWE-20
A vulnerability was found in RRJ Nueva Ecija Engineer Online Portal 1.0 and classified as problematic. This issue affects some unknown processing of the file add_quiz.php of the component Quiz Handler. The manipulation of the argument Quiz Title/Quiz Description with the input </title><scRipt>alert(x)</scRipt> leads to cross site scripting. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-249503.	"Analyze the following CVE description and determine the appropriate CWE. Provide a justification. The last part of your response should contain only the CWE ID number.

CVE Description: A vulnerability was found in RRJ Nueva Ecija Engineer Online Portal 1.0 and classified as problematic. This issue affects some unknown processing of the file add_quiz.php of the component Quiz Handler. The manipulation of the argument Quiz Title/Quiz Description with the input </title><scRipt>alert(x)</scRipt> leads to cross site scripting. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-249503.
CVE ID: CVE-2015-1802
CWE ID: CWE-79
WASC ID: WASC-15-001-002
CVSS V3 Base Score: 5.0 (AV:N/AC:M/A"	CWE-79
in OpenHarmony v4.0.0 and prior versions allow a local attacker cause heap overflow through  integer overflow.	"Analyze the following CVE description and determine the appropriate CWE. Provide a justification. The last part of your response should contain only the CWE ID number.

CVE Description: in OpenHarmony v4.0.0 and prior versions allow a local attacker cause heap overflow through  integer overflow.
A local attacker can cause heap overflow through integer overflow. The CVE ID is CVE-2020-10776. This issue is known as CVE-2020-10776. The CWE ID is CWE-604: Integer Overflow or Wraparound."	CWE-604
IBM Security Verify Access 10.0.0.0 through 10.0.6.1 could allow a privileged user to install a configuration file that could allow remote access.  IBM X-Force ID:  266155.	"Analyze the following CVE description and determine the appropriate CWE. Provide a justification. The last part of your response should contain only the CWE ID number.

CVE Description: IBM Security Verify Access 10.0.0.0 through 10.0.6.1 could allow a privileged user to install a configuration file that could allow remote access.  IBM X-Force ID:  266155.
```
CWE-78: Improper Control of Privileges
CWE-78: Improper Control of Privileges
```
## Analysis

The vulnerability is caused by an improper control of privileges. An attacker could exploit this vulnerability by performing"	CWE-78
WiX toolset lets developers create installers for Windows Installer, the Windows installation engine. The .be TEMP folder is vulnerable to DLL redirection attacks that allow the attacker to escalate privileges. This impacts any installer built with the WiX installer framework. This issue has been patched in version 4.0.4.	"Analyze the following CVE description and determine the appropriate CWE. Provide a justification. The last part of your response should contain only the CWE ID number.

CVE Description: WiX toolset lets developers create installers for Windows Installer, the Windows installation engine. The.be TEMP folder is vulnerable to DLL redirection attacks that allow the attacker to escalate privileges. This impacts any installer built with the WiX installer framework. This issue has been patched in version 4.0.4.
The CWE ID: CWE-250

Justification: The attacker could exploit this vulnerability by using a DLL hijacking attack. A DLL hijacking attack is an attack in which the attacker uses a malicious DLL to replace the legitimate DLL in the application's"	CWE-250
Dell EMC AppSync, versions from 4.2.0.0 to 4.6.0.0 including all Service Pack releases, contain an exposure of sensitive information vulnerability in AppSync server logs. A high privileged remote attacker could potentially exploit this vulnerability, leading to the disclosure of certain user credentials. The attacker may be able to use the exposed credentials to access the vulnerable system with privileges of the compromised account.	"Analyze the following CVE description and determine the appropriate CWE. Provide a justification. The last part of your response should contain only the CWE ID number.

CVE Description: Dell EMC AppSync, versions from 4.2.0.0 to 4.6.0.0 including all Service Pack releases, contain an exposure of sensitive information vulnerability in AppSync server logs. A high privileged remote attacker could potentially exploit this vulnerability, leading to the disclosure of certain user credentials. The attacker may be able to use the exposed credentials to access the vulnerable system with privileges of the compromised account.
The CWE ID number for this vulnerability is: CWE-200 ( CWE-200: Improper Neutralization of Special Elements used in an SQL Command (""SQL Injection"") )
The CWE ID number for this vulnerability is: CWE-200 ( CWE-200"	CWE-200
OOB access in paddle.mode in PaddlePaddle before 2.6.0. This flaw can cause a runtime crash and a denial of service.	"Analyze the following CVE description and determine the appropriate CWE. Provide a justification. The last part of your response should contain only the CWE ID number.

CVE Description: OOB access in paddle.mode in PaddlePaddle before 2.6.0. This flaw can cause a runtime crash and a denial of service.
CWE: CWE-100: Improper Input Validation CWE-119: Improper Restriction of a Pathname to a Restricted Directory CWE-120: Improper Restriction of a Pathname to a Restricted File
CWE-100: Impro"	CWE-100
For migration as well as to work around kernels unaware of L1TF (see XSA-273), PV guests may be run in shadow paging mode.  Since Xen itself needs to be mapped when PV guests run, Xen and shadowed PV guests run directly the respective shadow page tables.  For 64-bit PV guests this means running on the shadow of the guest root page table.  In the course of dealing with shortage of memory in the shadow pool associated with a domain, shadows of page tables may be torn down.  This tearing down may include the shadow root page table that the CPU in question is presently running on.  While a precaution exists to supposedly prevent the tearing down of the underlying live page table, the time window covered by that precaution isn't large enough.	"Analyze the following CVE description and determine the appropriate CWE. Provide a justification. The last part of your response should contain only the CWE ID number.

CVE Description: For migration as well as to work around kernels unaware of L1TF (see XSA-273), PV guests may be run in shadow paging mode.  Since Xen itself needs to be mapped when PV guests run, Xen and shadowed PV guests run directly the respective shadow page tables.  For 64-bit PV guests this means running on the shadow of the guest root page table.  In the course of dealing with shortage of memory in the shadow pool associated with a domain, shadows of page tables may be torn down.  This tearing down may include the shadow root page table that the CPU in question is presently running on.  While a precaution exists to supposedly prevent the tearing down of the underlying live page table, the time window covered by that precaution isn't large enough.
CVE ID: CVE-2018-1000110
CWE ID: CWE-476
CWE Description:
A guest operating system may be vulnerable to the L1TF vulnerability because the guest operating system runs in shadow paging mode.  This"	CWE-476
An issue in the com.oneed.dvr.service.DownloadFirmwareService component of IMOU GO v1.0.11 allows attackers to force the download of arbitrary files.	Error in processing	Error
Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Posts to Page Kerry James allows Stored XSS.This issue affects Kerry James: from n/a through 1.7.	"Analyze the following CVE description and determine the appropriate CWE. Provide a justification. The last part of your response should contain only the CWE ID number.

CVE Description: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Posts to Page Kerry James allows Stored XSS.This issue affects Kerry James: from n/a through 1.7.
CVE ID: CVE-2021-4005
CWE ID: CWE-79
NIST SP 800-53: NIST SP 800-53 controls are evaluated by the following NIST SP 800-53 controls:
-"	CWE-79
A vulnerability has been reported in Cups Easy (Purchase & Inventory), version 1.0, whereby user-controlled inputs are not sufficiently encoded, resulting in a Cross-Site Scripting (XSS) vulnerability via /cupseasylive/itemcreate.php, in the itemid parameter. Exploitation of this vulnerability could allow a remote attacker to send a specially crafted URL to an authenticated user and steal their session cookie credentials.	"Analyze the following CVE description and determine the appropriate CWE. Provide a justification. The last part of your response should contain only the CWE ID number.

CVE Description: A vulnerability has been reported in Cups Easy (Purchase & Inventory), version 1.0, whereby user-controlled inputs are not sufficiently encoded, resulting in a Cross-Site Scripting (XSS) vulnerability via /cupseasylive/itemcreate.php, in the itemid parameter. Exploitation of this vulnerability could allow a remote attacker to send a specially crafted URL to an authenticated user and steal their session cookie credentials.
```
CWE-79: Improper Input Validation
```
## Solution

The CWE-79: Improper Input Validation vulnerability is a type of Cross-Site Scripting (XSS) vulnerability that occurs when an attacker sends a specially crafted"	CWE-79
A vulnerability has been reported in Cups Easy (Purchase & Inventory), version 1.0, whereby user-controlled inputs are not sufficiently encoded, resulting in a Cross-Site Scripting (XSS) vulnerability via /cupseasylive/statemodify.php, in the description parameter. Exploitation of this vulnerability could allow a remote attacker to send a specially crafted URL to an authenticated user and steal their session cookie credentials.	Error in processing	Error
A vulnerability classified as critical was found in Tongda OA 2017 up to 11.9. Affected by this vulnerability is an unknown functionality of the file /general/attendance/manage/ask_duty/delete.php. The manipulation of the argument ASK_DUTY_ID leads to sql injection. The exploit has been disclosed to the public and may be used. Upgrading to version 11.10 is able to address this issue. It is recommended to upgrade the affected component. The associated identifier of this vulnerability is VDB-252991.	Error in processing	Error
The 3DPrint Lite WordPress plugin before 1.9.1.5 does not have any authorisation and does not check the uploaded file in its p3dlite_handle_upload AJAX action , allowing unauthenticated users to upload arbitrary file to the web server. However, there is a .htaccess, preventing the file to be accessed on Web servers such as Apache.	"Analyze the following CVE description and determine the appropriate CWE. Provide a justification. The last part of your response should contain only the CWE ID number.

CVE Description: The 3DPrint Lite WordPress plugin before 1.9.1.5 does not have any authorisation and does not check the uploaded file in its p3dlite_handle_upload AJAX action, allowing unauthenticated users to upload arbitrary file to the web server. However, there is a.htaccess, preventing the file to be accessed on Web servers such as Apache.
CVE ID: CVE-2017-1000111

CWE ID: CWE-22

Justification: The plugin is a PHP script, so the attacker needs to exploit a vulnerability in the PHP engine. The vulnerability is the lack of any"	CWE-22
