Question,Option A,Option B,Option C,Option D,Model Answer,Correct Answer,Is Correct,Model Response
"According to MITRE ATT&CK, which tool did the Night Dragon adversaries use for cracking password hashes?",Hydra,CrackMapExec,John the Ripper,Cain & Abel,C,D,False,"THE CORRECT ANSWER IS: **C**.

JOHN THE RIPPER IS A FREE AND OPEN-SOURCE PASSWORD CRACKING SOFTWARE TOOL FOR UNIX, LINUX, AND WINDOWS. IT IS ONE OF THE MOST POPULAR AND WIDELY USED PASSWORD CRACKING TOOLS. JOHN THE RIPPER CAN CRACK PASSWORDS STORED IN A VARIETY OF FORMATS, INCLUDING HASHES, PASSWORDS STORED IN FILES, AND PASSWORDS STORED IN WINDOWS SAM FILES.

HYDRA IS A NETWORK LOGIN CRACKER THAT SUPPORTS MANY DIFFERENT PROTOCOLS TO ATTACK, INCLUDING HTTP, HTTPS, FTP, SSH, TELNET, SMB, SMTP, POP3, IMAP, AND MORE. HYDRA IS A VERY POWERFUL TOOL THAT CAN BE USED TO CRACK PASSWORDS ON A VARIETY OF SYSTEMS.

CRACKMAPEXEC IS A WINDOWS-BASED TOOL THAT CAN BE USED TO EXECUTE COMMANDS ON REMOTE SYSTEMS. CRACKMAPEXEC CAN BE USED TO CRACK PASSWORDS ON REMOTE SYSTEMS BY USING A VARIETY OF METHODS, INCLUDING BRUTE FORCE, DICTIONARY ATTACKS, AND RAINBOW TABLES.

CAIN & ABEL IS A PASSWORD RECOVERY TOOL FOR WINDOWS. CAIN & ABEL CAN BE USED TO CRACK PASSWORDS STORED IN A VARIETY OF FORMATS, INCLUDING HASHES, PASSWORDS STORED IN FILES, AND PASSWORDS STORED IN WINDOWS SAM FILES. CAIN & ABEL CAN ALSO BE USED TO SNIFF PASSWORDS FROM NETWORK TRAFFIC.

ACCORDING TO MITRE ATT&CK, THE NIGHT DRAGON ADVERSARIES USED JOHN THE RIPPER TO CRACK PASSWORD HASHES."
Which specific data source should be monitored to detect failed authentication attempts that could indicate a brute force attack?,Application Log,User Account Security Log,System Audit Log,User Account Authentication,B,D,False,"THE CORRECT ANSWER IS: **B) USER ACCOUNT SECURITY LOG**

A BRUTE FORCE ATTACK IS AN ATTEMPT TO GAIN ACCESS TO A SYSTEM BY TRYING MULTIPLE COMBINATIONS OF USERNAMES AND PASSWORDS. THE USER ACCOUNT SECURITY LOG IS A SPECIFIC DATA SOURCE THAT CAN BE USED TO DETECT FAILED AUTHENTICATION ATTEMPTS THAT COULD INDICATE A BRUTE FORCE ATTACK. THIS LOG CONTAINS INFORMATION ABOUT ALL ATTEMPTS TO LOG IN TO A SYSTEM, INCLUDING THE USERNAME, IP ADDRESS, AND TIME OF THE ATTEMPT. IF A USER ATTEMPTS TO LOG IN MULTIPLE TIMES WITH INCORRECT CREDENTIALS, THIS WILL BE LOGGED IN THE USER ACCOUNT SECURITY LOG. THIS INFORMATION CAN BE USED TO IDENTIFY AND INVESTIGATE POTENTIAL BRUTE FORCE ATTACKS.

THE OTHER OPTIONS ARE INCORRECT BECAUSE THEY DO NOT PROVIDE SPECIFIC INFORMATION ABOUT FAILED AUTHENTICATION ATTEMPTS. THE APPLICATION LOG CONTAINS INFORMATION ABOUT ALL APPLICATION ACTIVITY, BUT IT DOES NOT SPECIFICALLY TRACK FAILED AUTHENTICATION ATTEMPTS. THE SYSTEM AUDIT LOG CONTAINS INFORMATION ABOUT ALL SYSTEM ACTIVITY, BUT IT DOES NOT SPECIFICALLY TRACK FAILED AUTHENTICATION ATTEMPTS. USER ACCOUNT AUTHENTICATION IS A PROCESS, NOT A DATA SOURCE."
What mitigation strategy does MITRE ATT&CK suggest to defend against password cracking by adversaries?,Implementing a strict password expiration policy,Using password managers,Enabling multi-factor authentication,Configuring IP address filtering,C,C,True,"THE CORRECT ANSWER IS: C) ENABLING MULTI-FACTOR AUTHENTICATION.

MULTI-FACTOR AUTHENTICATION (MFA) IS A SECURITY PROCESS IN WHICH A USER IS REQUIRED TO PROVIDE TWO OR MORE FORMS OF IDENTIFICATION IN ORDER TO ACCESS A SYSTEM. THIS CAN INCLUDE SOMETHING THE USER KNOWS (SUCH AS A PASSWORD), SOMETHING THE USER HAS (SUCH AS A SECURITY TOKEN), OR SOMETHING THE USER IS (SUCH AS A FINGERPRINT). MFA IS AN EFFECTIVE WAY TO DEFEND AGAINST PASSWORD CRACKING ATTACKS BECAUSE IT REQUIRES THE ATTACKER TO HAVE ACCESS TO BOTH THE USER'S PASSWORD AND ANOTHER FORM OF IDENTIFICATION, WHICH IS OFTEN MORE DIFFICULT TO OBTAIN.

THE OTHER OPTIONS ARE NOT AS EFFECTIVE AT DEFENDING AGAINST PASSWORD CRACKING ATTACKS. IMPLEMENTING A STRICT PASSWORD EXPIRATION POLICY CAN HELP TO PREVENT USERS FROM REUSING PASSWORDS ACROSS MULTIPLE SYSTEMS, BUT IT DOES NOT PREVENT ATTACKERS FROM USING BRUTE FORCE ATTACKS TO TRY TO GUESS PASSWORDS. USING PASSWORD MANAGERS CAN HELP USERS TO CREATE AND STORE STRONG PASSWORDS, BUT IT DOES NOT PREVENT ATTACKERS FROM ACCESSING THESE PASSWORDS IF THEY ARE STORED ON A COMPROMISED SYSTEM. CONFIGURING IP ADDRESS FILTERING CAN HELP TO PREVENT ATTACKERS FROM ACCESSING SYSTEMS FROM KNOWN MALICIOUS IP ADDRESSES, BUT IT DOES NOT PREVENT ATTACKERS FROM USING PROXIES OR OTHER METHODS TO HIDE THEIR IP ADDRESSES."
How does T1110.001 (Brute Force: Password Guessing) typically try to achieve credential access?,By intercepting network traffic to obtain passwords,By guessing passwords using a repetitive or iterative mechanism,By exploiting zero-day vulnerabilities,By social engineering tactics to trick users into revealing passwords,B,B,True,"THE CORRECT ANSWER IS: B.

BRUTE FORCE PASSWORD GUESSING IS A METHOD OF TRYING TO GAIN ACCESS TO A SYSTEM BY TRYING A LARGE NUMBER OF POSSIBLE PASSWORDS UNTIL THE CORRECT ONE IS FOUND. THIS CAN BE DONE MANUALLY OR USING A COMPUTER PROGRAM.

THE OTHER OPTIONS ARE INCORRECT BECAUSE:

* A) INTERCEPTING NETWORK TRAFFIC TO OBTAIN PASSWORDS IS A METHOD OF NETWORK SNIFFING.
* C) EXPLOITING ZERO-DAY VULNERABILITIES IS A METHOD OF EXPLOITING A VULNERABILITY IN SOFTWARE THAT IS NOT YET KNOWN TO THE VENDOR.
* D) SOCIAL ENGINEERING TACTICS TO TRICK USERS INTO REVEALING PASSWORDS IS A METHOD OF SOCIAL ENGINEERING."
APT29 (G0016) used T1110.001 to attack which type of targets?,Internal networking equipment,Operating system vulnerabilities,A list of mailboxes,Web server configuration files,C,C,True,"THE CORRECT ANSWER IS: C) A LIST OF MAILBOXES.

T1110.001 IS A TECHNIQUE USED BY THREAT ACTORS TO OBTAIN A LIST OF MAILBOXES FROM A TARGET ORGANIZATION. THIS CAN BE DONE BY EXPLOITING VULNERABILITIES IN EMAIL SERVERS, OR BY USING SOCIAL ENGINEERING TECHNIQUES TO TRICK EMPLOYEES INTO REVEALING THEIR EMAIL ADDRESSES. ONCE A LIST OF MAILBOXES HAS BEEN OBTAINED, THE THREAT ACTOR CAN THEN USE IT TO LAUNCH FURTHER ATTACKS, SUCH AS PHISHING CAMPAIGNS OR CREDENTIAL STUFFING ATTACKS.

INTERNAL NETWORKING EQUIPMENT (A), OPERATING SYSTEM VULNERABILITIES (B), AND WEB SERVER CONFIGURATION FILES (D) ARE ALL POTENTIAL TARGETS FOR CYBER ATTACKS, BUT THEY ARE NOT THE SPECIFIC TARGETS OF T1110.001."
Why are LDAP and Kerberos connection attempts less likely to trigger events compared to SMB?,LDAP and Kerberos have default settings that disable logging,"SMB creates specific ""logon failure"" event ID 4625",LDAP and Kerberos use encryption that prevents logging,SMB sessions expire more quickly than LDAP and Kerberos sessions,B,B,True,"THE CORRECT ANSWER IS: **B**.

SMB CREATES SPECIFIC ""LOGON FAILURE"" EVENT ID 4625, WHICH IS LOGGED BY THE WINDOWS SECURITY EVENT LOG. LDAP AND KERBEROS DO NOT CREATE SUCH SPECIFIC EVENT IDS, SO THEIR CONNECTION ATTEMPTS ARE LESS LIKELY TO TRIGGER EVENTS.

A IS INCORRECT BECAUSE LDAP AND KERBEROS DO NOT HAVE DEFAULT SETTINGS THAT DISABLE LOGGING.
C IS INCORRECT BECAUSE LDAP AND KERBEROS DO NOT USE ENCRYPTION THAT PREVENTS LOGGING.
D IS INCORRECT BECAUSE SMB SESSIONS DO NOT EXPIRE MORE QUICKLY THAN LDAP AND KERBEROS SESSIONS."
Which mitigation can help prevent T1110.001 attacks but might cause a denial of service if too strict?,Multi-factor Authentication,Update Software,Account Use Policies,Password Manager Setup,C,C,True,"THE CORRECT ANSWER IS: **C**

T1110.001 IS A TYPE OF BRUTE FORCE ATTACK THAT USES A DICTIONARY OF COMMON PASSWORDS TO TRY TO GAIN ACCESS TO A SYSTEM. ACCOUNT USE POLICIES CAN HELP PREVENT THIS TYPE OF ATTACK BY REQUIRING USERS TO CHANGE THEIR PASSWORDS REGULARLY AND BY SETTING A MINIMUM PASSWORD LENGTH. HOWEVER, IF THESE POLICIES ARE TOO STRICT, THEY CAN CAUSE A DENIAL OF SERVICE IF USERS ARE UNABLE TO REMEMBER THEIR PASSWORDS OR IF THEY ARE FORCED TO CHANGE THEM TOO OFTEN.

MULTI-FACTOR AUTHENTICATION (MFA) IS A SECURITY PROCESS THAT REQUIRES USERS TO PROVIDE TWO OR MORE FORMS OF IDENTIFICATION IN ORDER TO ACCESS A SYSTEM. THIS CAN HELP PREVENT BRUTE FORCE ATTACKS BY MAKING IT MORE DIFFICULT FOR ATTACKERS TO GUESS OR STEAL USERS' PASSWORDS. MFA DOES NOT HAVE THE SAME RISK OF CAUSING A DENIAL OF SERVICE AS ACCOUNT USE POLICIES, BECAUSE USERS ONLY NEED TO PROVIDE THEIR CREDENTIALS ONCE, AFTER WHICH THEY ARE GRANTED ACCESS TO THE SYSTEM.

UPDATING SOFTWARE IS IMPORTANT FOR SECURITY, BUT IT DOES NOT SPECIFICALLY HELP PREVENT T1110.001 ATTACKS. SOFTWARE UPDATES OFTEN INCLUDE SECURITY PATCHES THAT FIX VULNERABILITIES THAT COULD BE EXPLOITED BY ATTACKERS. HOWEVER, THESE VULNERABILITIES ARE NOT ALWAYS RELATED TO BRUTE FORCE ATTACKS.

PASSWORD MANAGER SETUP IS A GOOD SECURITY PRACTICE, BUT IT DOES NOT SPECIFICALLY HELP PREVENT T1110.001 ATTACKS. PASSWORD MANAGERS CAN HELP USERS CREATE AND STORE STRONG PASSWORDS, WHICH CAN MAKE IT MORE DIFFICULT FOR ATTACKERS TO GUESS OR STEAL PASSWORDS. HOWEVER, PASSWORD MANAGERS DO NOT PREVENT BRUTE FORCE ATTACKS FROM OCCURRING."
Which service is commonly targeted by T1110.001 via TCP port 1433?,FTP,Server Message Block (SMB),MySQL,MSSQL,D,D,True,"THE CORRECT ANSWER IS: D. MSSQL

T1110.001 IS A MICROSOFT SQL SERVER REMOTE DESKTOP PROTOCOL (RDP) BRUTE FORCE ATTACK. IT IS A COMMON ATTACK VECTOR USED BY CYBERCRIMINALS TO GAIN ACCESS TO MICROSOFT SQL SERVER DATABASES. THE ATTACK INVOLVES TRYING TO GUESS THE USERNAME AND PASSWORD OF A SQL SERVER ACCOUNT BY REPEATEDLY CONNECTING TO THE DATABASE USING DIFFERENT COMBINATIONS OF USERNAMES AND PASSWORDS. IF THE ATTACKER IS SUCCESSFUL IN GUESSING THE CORRECT USERNAME AND PASSWORD, THEY WILL BE ABLE TO GAIN ACCESS TO THE DATABASE AND STEAL SENSITIVE DATA.

THE TCP PORT 1433 IS USED BY MICROSOFT SQL SERVER FOR ITS DEFAULT PORT. THIS MEANS THAT IF A CYBERCRIMINAL IS ABLE TO CONNECT TO A SQL SERVER DATABASE ON PORT 1433, THEY WILL BE ABLE TO USE T1110.001 TO TRY TO BRUTE FORCE THEIR WAY INTO THE DATABASE.

THE OTHER OPTIONS ARE NOT COMMONLY TARGETED BY T1110.001. FTP IS A FILE TRANSFER PROTOCOL THAT IS USED TO TRANSFER FILES BETWEEN COMPUTERS. SMB IS A NETWORK FILE SHARING PROTOCOL THAT IS USED TO SHARE FILES AND FOLDERS OVER A NETWORK. MYSQL IS A RELATIONAL DATABASE MANAGEMENT SYSTEM (RDBMS)."
Which tool allows brute-forcing across an entire network as part of T1110.001?,Pony,EMOTET,CrackMapExec,HermeticWizard,C,C,True,"THE CORRECT ANSWER IS C. CRACKMAPEXEC.

CRACKMAPEXEC IS A POST-EXPLOITATION TOOL THAT ALLOWS ATTACKERS TO ENUMERATE AND EXPLOIT SYSTEMS ON A NETWORK. IT CAN BE USED TO BRUTE-FORCE PASSWORDS, EXECUTE COMMANDS, AND MOVE LATERALLY ACROSS A NETWORK.

PONY IS A TROJAN HORSE THAT CAN BE USED TO STEAL DATA AND INSTALL ADDITIONAL MALWARE. EMOTET IS A BANKING TROJAN THAT CAN BE USED TO STEAL FINANCIAL INFORMATION. HERMETICWIZARD IS A DESTRUCTIVE MALWARE THAT CAN BE USED TO WIPE DATA AND DISABLE SYSTEMS.

THEREFORE, THE ONLY TOOL THAT ALLOWS BRUTE-FORCING ACROSS AN ENTIRE NETWORK IS CRACKMAPEXEC."
In which scenario might an adversary combine brute forcing activity with External Remote Services?,Initial Access,Execution,Persistence,Collection,A,A,True,"THE CORRECT ANSWER IS: A) INITIAL ACCESS.

BRUTE FORCING IS A METHOD OF TRYING TO GUESS A USERNAME AND PASSWORD COMBINATION IN ORDER TO GAIN ACCESS TO A SYSTEM. EXTERNAL REMOTE SERVICES ARE SERVICES THAT ARE ACCESSIBLE FROM OUTSIDE OF THE ORGANIZATION'S NETWORK. BY COMBINING BRUTE FORCING WITH EXTERNAL REMOTE SERVICES, AN ADVERSARY CAN TRY TO GUESS THE USERNAME AND PASSWORD COMBINATION FOR AN EXTERNAL REMOTE SERVICE IN ORDER TO GAIN ACCESS TO THE ORGANIZATION'S NETWORK.

OPTIONS B, C, AND D ARE INCORRECT BECAUSE THEY DO NOT DESCRIBE A SCENARIO IN WHICH AN ADVERSARY WOULD COMBINE BRUTE FORCING ACTIVITY WITH EXTERNAL REMOTE SERVICES."
Which group used a script to attempt RPC authentication during the 2016 Ukraine Electric Power Attack?,APT28,Sandworm Team,Dragonfly,OilRig,B,B,True,"THE CORRECT ANSWER IS: **B) SANDWORM TEAM**

THE SANDWORM TEAM IS A RUSSIAN CYBERWARFARE GROUP THAT HAS BEEN LINKED TO A NUMBER OF HIGH-PROFILE ATTACKS, INCLUDING THE 2016 UKRAINE ELECTRIC POWER ATTACK. THE GROUP IS BELIEVED TO BE PART OF THE GRU, RUSSIA'S MILITARY INTELLIGENCE AGENCY.

IN THE 2016 UKRAINE ELECTRIC POWER ATTACK, THE SANDWORM TEAM USED A SCRIPT TO ATTEMPT RPC AUTHENTICATION ON A NUMBER OF UKRAINIAN POWER COMPANIES. THE SCRIPT WAS DESIGNED TO EXPLOIT A VULNERABILITY IN THE WINDOWS OPERATING SYSTEM. THE ATTACK WAS SUCCESSFUL IN DISRUPTING POWER TO PARTS OF UKRAINE.

APT28, DRAGONFLY, AND OILRIG ARE ALL OTHER CYBERWARFARE GROUPS THAT HAVE BEEN ACTIVE IN RECENT YEARS. HOWEVER, THERE IS NO EVIDENCE THAT ANY OF THESE GROUPS WERE INVOLVED IN THE 2016 UKRAINE ELECTRIC POWER ATTACK."
"According to the MITRE ATT&CK framework, which technique ID corresponds to Brute Force?",T1133,T1059,T1110,T1049,A,C,False,"THE CORRECT ANSWER IS: **A) T1133**

BRUTE FORCE IS A TECHNIQUE USED TO GAIN ACCESS TO A SYSTEM BY TRYING A LARGE NUMBER OF POSSIBLE PASSWORDS OR COMBINATIONS UNTIL THE CORRECT ONE IS FOUND. IT IS A COMMON ATTACK METHOD FOR BOTH HACKERS AND LEGITIMATE USERS WHO HAVE LOST THEIR PASSWORDS.

THE MITRE ATT&CK FRAMEWORK IS A TAXONOMY OF COMMON CYBER ATTACK TECHNIQUES. IT IS USED BY SECURITY PROFESSIONALS TO UNDERSTAND AND DEFEND AGAINST CYBER ATTACKS. THE BRUTE FORCE TECHNIQUE IS IDENTIFIED AS T1133 IN THE MITRE ATT&CK FRAMEWORK.

THE OTHER OPTIONS ARE INCORRECT. T1059 IS A TECHNIQUE FOR EXPLOITING KNOWN VULNERABILITIES. T1110 IS A TECHNIQUE FOR USING SOCIAL ENGINEERING TO TRICK USERS INTO REVEALING THEIR PASSWORDS. T1049 IS A TECHNIQUE FOR USING A DICTIONARY ATTACK TO TRY COMMON PASSWORDS."
Which procedure example includes the use of Ncrack to reveal credentials?,APT39,APT38,Fox Kitten,PoshC2,C,A,False,"THE CORRECT ANSWER IS: **C) FOX KITTEN**

FOX KITTEN IS A CYBER THREAT ACTOR THAT HAS BEEN ACTIVE SINCE AT LEAST 2016. THE GROUP IS BELIEVED TO BE SPONSORED BY THE CHINESE GOVERNMENT AND IS KNOWN FOR TARGETING ORGANIZATIONS IN THE DEFENSE, TELECOMMUNICATIONS, AND ENERGY SECTORS. FOX KITTEN HAS USED A VARIETY OF TOOLS AND TECHNIQUES IN ITS ATTACKS, INCLUDING NCRACK, A NETWORK SCANNER THAT CAN BE USED TO IDENTIFY OPEN PORTS AND SERVICES ON A TARGET SYSTEM. NCRACK CAN ALSO BE USED TO ATTEMPT TO BRUTE-FORCE PASSWORDS, WHICH CAN REVEAL CREDENTIALS THAT CAN BE USED TO GAIN UNAUTHORIZED ACCESS TO A SYSTEM.

APT39 IS A CYBER THREAT ACTOR THAT HAS BEEN ACTIVE SINCE AT LEAST 2014. THE GROUP IS BELIEVED TO BE SPONSORED BY THE IRANIAN GOVERNMENT AND IS KNOWN FOR TARGETING ORGANIZATIONS IN THE ENERGY, DEFENSE, AND TELECOMMUNICATIONS SECTORS. APT39 HAS USED A VARIETY OF TOOLS AND TECHNIQUES IN ITS ATTACKS, INCLUDING SPEAR-PHISHING EMAILS, WATERING HOLE ATTACKS, AND CREDENTIAL STUFFING.

APT38 IS A CYBER THREAT ACTOR THAT HAS BEEN ACTIVE SINCE AT LEAST 2013. THE GROUP IS BELIEVED TO BE SPONSORED BY THE NORTH KOREAN GOVERNMENT AND IS KNOWN FOR TARGETING ORGANIZATIONS IN THE DEFENSE, ENERGY, AND FINANCIAL SECTORS. APT38 HAS USED A VARIETY OF TOOLS AND TECHNIQUES IN ITS ATTACKS, INCLUDING SPEAR-PHISHING EMAILS, WATERING HOLE ATTACKS, AND DESTRUCTIVE MALWARE.

POSHC2 IS A COMMAND-AND-CONTROL (C2) FRAMEWORK THAT IS USED BY CYBER THREAT ACTORS TO REMOTELY CONTROL INFECTED SYSTEMS. POSHC2 IS A POWERSHELL-BASED FRAMEWORK THAT IS HIGHLY CONFIGURABLE AND CAN BE USED TO EXECUTE A VARIETY OF MALICIOUS COMMANDS ON AN INFECTED SYSTEM.

THEREFORE, THE CORRECT ANSWER IS: **C) FOX KITTEN**"
What mitigation strategy involves setting account lockout policies after a certain number of failed login attempts?,Multi-factor Authentication,Account Use Policies,User Account Management,Password Policies,B,B,True,"THE CORRECT ANSWER IS: **B) ACCOUNT USE POLICIES**

ACCOUNT USE POLICIES ARE A TYPE OF SECURITY POLICY THAT DEFINES HOW USERS SHOULD ACCESS AND USE COMPUTER SYSTEMS AND DATA. THEY CAN INCLUDE REQUIREMENTS FOR STRONG PASSWORDS, PASSWORD EXPIRATION, AND ACCOUNT LOCKOUT AFTER A CERTAIN NUMBER OF FAILED LOGIN ATTEMPTS.

MULTI-FACTOR AUTHENTICATION (MFA) IS A SECURITY PROCESS THAT REQUIRES USERS TO PROVIDE TWO OR MORE FORMS OF IDENTIFICATION IN ORDER TO ACCESS A SYSTEM OR APPLICATION. THIS CAN INCLUDE SOMETHING THEY KNOW (SUCH AS A PASSWORD), SOMETHING THEY HAVE (SUCH AS A SECURITY TOKEN), OR SOMETHING THEY ARE (SUCH AS THEIR FINGERPRINT).

USER ACCOUNT MANAGEMENT (UAM) IS THE PROCESS OF CREATING, MANAGING, AND DEACTIVATING USER ACCOUNTS ON COMPUTER SYSTEMS. IT INCLUDES TASKS SUCH AS ASSIGNING USER PERMISSIONS, CREATING USER PROFILES, AND MANAGING USER PASSWORDS.

PASSWORD POLICIES ARE A TYPE OF SECURITY POLICY THAT DEFINES THE REQUIREMENTS FOR PASSWORDS ON COMPUTER SYSTEMS. THEY CAN INCLUDE REQUIREMENTS FOR PASSWORD LENGTH, COMPLEXITY, AND EXPIRATION."
"Considering the MITRE ATT&CK technique T1185 (Browser Session Hijacking), what specific functionality does Agent Tesla leverage to collect user information?",Form-grabbing,HTML injection,Session hijacking,SSL certificate theft,C,A,False,"THE CORRECT ANSWER IS: **C) SESSION HIJACKING**.

AGENT TESLA IS A REMOTE ACCESS TROJAN (RAT) THAT CAN STEAL SENSITIVE INFORMATION FROM INFECTED SYSTEMS, INCLUDING PASSWORDS, CREDIT CARD NUMBERS, AND SCREENSHOTS. IT CAN ALSO BE USED TO CONTROL INFECTED SYSTEMS REMOTELY.

AGENT TESLA USES A VARIETY OF TECHNIQUES TO COLLECT USER INFORMATION, INCLUDING FORM-GRABBING, HTML INJECTION, AND SESSION HIJACKING. FORM-GRABBING IS A TECHNIQUE THAT INVOLVES STEALING INFORMATION THAT USERS ENTER INTO FORMS ON WEBSITES. HTML INJECTION IS A TECHNIQUE THAT INVOLVES INSERTING MALICIOUS CODE INTO WEBSITES THAT CAN BE USED TO STEAL INFORMATION FROM USERS. SESSION HIJACKING IS A TECHNIQUE THAT INVOLVES STEALING THE SESSION ID OF A USER, WHICH CAN THEN BE USED TO IMPERSONATE THE USER ON A WEBSITE.

IN THE CASE OF MITRE ATT&CK TECHNIQUE T1185 (BROWSER SESSION HIJACKING), AGENT TESLA USES SESSION HIJACKING TO COLLECT USER INFORMATION. SESSION HIJACKING IS A TECHNIQUE THAT INVOLVES STEALING THE SESSION ID OF A USER, WHICH CAN THEN BE USED TO IMPERSONATE THE USER ON A WEBSITE. THIS ALLOWS AGENT TESLA TO ACCESS THE USER'S ACCOUNT AND STEAL THEIR INFORMATION.

THEREFORE, THE CORRECT ANSWER IS: **C) SESSION HIJACKING**."
Which permission is typically required to execute browser-based pivoting behaviors in the context of T1185?,SeTcbPrivilege,SeShutdownPrivilege,SeDebugPrivilege,SeTakeOwnershipPrivilege,A,C,False,"THE CORRECT ANSWER IS: **A) SETCBPRIVILEGE**

SETCBPRIVILEGE IS A PRIVILEGE THAT ALLOWS A PROCESS TO EXECUTE CODE IN THE CONTEXT OF THE SYSTEM SECURITY CONTEXT (ALSO KNOWN AS THE LOCALSYSTEM ACCOUNT). THIS PRIVILEGE IS REQUIRED FOR A NUMBER OF TASKS, INCLUDING OPENING FILES AND DEVICES THAT ARE OWNED BY THE SYSTEM, AND ACCESSING SYSTEM-LEVEL APIS.

T1185 IS A TECHNIQUE USED BY THREAT ACTORS TO EXECUTE CODE ON A TARGET SYSTEM BY EXPLOITING VULNERABILITIES IN WEB BROWSERS. THIS TECHNIQUE TYPICALLY INVOLVES TRICKING THE USER INTO VISITING A MALICIOUS WEBSITE THAT CONTAINS CODE THAT IS DESIGNED TO EXPLOIT A VULNERABILITY IN THE BROWSER. ONCE THE VULNERABILITY IS EXPLOITED, THE ATTACKER CAN EXECUTE CODE ON THE TARGET SYSTEM WITH THE PRIVILEGES OF THE USER WHO VISITED THE MALICIOUS WEBSITE.

IN ORDER TO EXECUTE BROWSER-BASED PIVOTING BEHAVIORS IN THE CONTEXT OF T1185, THE ATTACKER MUST HAVE THE SETCBPRIVILEGE. THIS IS BECAUSE THE ATTACKER MUST BE ABLE TO EXECUTE CODE IN THE CONTEXT OF THE SYSTEM SECURITY CONTEXT IN ORDER TO ACCESS THE SYSTEM-LEVEL APIS THAT ARE REQUIRED TO EXECUTE BROWSER-BASED PIVOTING BEHAVIORS.

THE OTHER OPTIONS ARE INCORRECT BECAUSE THEY DO NOT PROVIDE THE ATTACKER WITH THE PRIVILEGES THAT ARE REQUIRED TO EXECUTE BROWSER-BASED PIVOTING BEHAVIORS IN THE CONTEXT OF T1185.

SESHUTDOWNPRIVILEGE ALLOWS A PROCESS TO SHUT DOWN THE SYSTEM.
SEDEBUGPRIVILEGE ALLOWS A PROCESS TO DEBUG OTHER PROCESSES.
SETAKEOWNERSHIPPRIVILEGE ALLOWS A PROCESS TO TAKE OWNERSHIP OF FILES AND OTHER OBJECTS."
What is one method used by adversaries to inherit cookies and authenticated sessions in T1185?,Using DNS poisoning,Injecting software into the browser,Changing browser settings,Launching a SYN flood attack,B,B,True,"THE CORRECT ANSWER IS: B) INJECTING SOFTWARE INTO THE BROWSER.

T1185 IS A TECHNIQUE USED BY ADVERSARIES TO INHERIT COOKIES AND AUTHENTICATED SESSIONS. THIS IS DONE BY INJECTING MALICIOUS CODE INTO THE VICTIM'S BROWSER, WHICH THEN STEALS THE COOKIES AND SESSION TOKENS. THE ADVERSARY CAN THEN USE THESE COOKIES AND TOKENS TO IMPERSONATE THE VICTIM ON OTHER WEBSITES.

OPTIONS A, C, AND D ARE INCORRECT BECAUSE THEY ARE NOT METHODS THAT CAN BE USED TO INHERIT COOKIES AND AUTHENTICATED SESSIONS. DNS POISONING IS A TECHNIQUE USED TO REDIRECT TRAFFIC TO A MALICIOUS WEBSITE. CHANGING BROWSER SETTINGS IS A TECHNIQUE USED TO MODIFY THE WAY A BROWSER BEHAVES. LAUNCHING A SYN FLOOD ATTACK IS A TECHNIQUE USED TO OVERWHELM A SERVER WITH REQUESTS, MAKING IT UNAVAILABLE TO LEGITIMATE USERS."
Which mitigation could help restrict exposure to browser pivoting techniques like T1185?,Network Segmentation,Malware Detection,User Account Management,Email Filtering,A,C,False,"THE CORRECT ANSWER IS: A) NETWORK SEGMENTATION.

NETWORK SEGMENTATION IS A SECURITY STRATEGY THAT DIVIDES A NETWORK INTO SMALLER, MORE MANAGEABLE SEGMENTS. THIS CAN HELP TO RESTRICT THE SPREAD OF MALWARE AND OTHER THREATS, AND CAN ALSO MAKE IT MORE DIFFICULT FOR ATTACKERS TO GAIN ACCESS TO SENSITIVE DATA.

MALWARE DETECTION IS A SECURITY SOLUTION THAT IS DESIGNED TO IDENTIFY AND REMOVE MALWARE FROM A COMPUTER SYSTEM. HOWEVER, MALWARE DETECTION IS NOT ALWAYS EFFECTIVE AGAINST BROWSER PIVOTING TECHNIQUES, AS THESE TECHNIQUES CAN OFTEN BYPASS TRADITIONAL SECURITY MEASURES.

USER ACCOUNT MANAGEMENT IS A SECURITY PROCESS THAT IS DESIGNED TO CONTROL AND MANAGE USER ACCESS TO COMPUTER SYSTEMS. HOWEVER, USER ACCOUNT MANAGEMENT IS NOT ALWAYS EFFECTIVE AGAINST BROWSER PIVOTING TECHNIQUES, AS THESE TECHNIQUES CAN OFTEN BYPASS TRADITIONAL SECURITY MEASURES.

EMAIL FILTERING IS A SECURITY SOLUTION THAT IS DESIGNED TO IDENTIFY AND REMOVE MALICIOUS EMAILS FROM A USER'S INBOX. HOWEVER, EMAIL FILTERING IS NOT ALWAYS EFFECTIVE AGAINST BROWSER PIVOTING TECHNIQUES, AS THESE TECHNIQUES CAN OFTEN BYPASS TRADITIONAL SECURITY MEASURES."
